K	delta	s	b	NashEh	NashRh	CS01h	CS12h	TS01h	TS12h	Coop01h	Coop12h
0	1	0.9	0.8	4.18	0.72	0	20	0	1.96	0	0
0	1	0.9	0.81	4.34	0.76	0	20	0	1.96	0	0
0	1	0.9	0.82	4.52	0.8	0	20	0	1.98	0	0
0	1	0.9	0.83	4.7	0.84	0	20	0	1.98	0	0
0	1	0.9	0.84	4.94	0.9	0	20	0	1.98	0	0
0	1	0.9	0.85	5.14	0.94	0	20	0	1.98	0	0
0	1	0.9	0.86	5.36	0.98	0	20	0	2	0	0
0	1	0.9	0.87	5.56	1.04	0	20	0	2	0	0
0	1	0.9	0.88	5.78	1.08	0	20	0	2	0	0
0	1	0.9	0.89	6	1.14	0	20	0	2	0	0
0	1	0.9	0.9	6.24	1.2	0	20	0	2	0	0
0	1	0.9	0.91	6.48	1.26	0	20	0	2.02	0	0
0	1	0.9	0.92	6.74	1.32	0	20	0	2.02	0	0
0	1	0.9	0.93	7	1.38	0	20	0	2.02	0	0
0	1	0.9	0.94	7.28	1.44	0	20	0	2.02	0	0
0	1	0.9	0.95	7.56	1.52	0	20	0	2.02	0	0
0	1	0.9	0.96	7.86	1.6	0	20	0	2.02	0	0
0	1	0.9	0.97	8.16	1.66	0	20	0	2.02	0	0
0	1	0.9	0.98	8.5	1.74	0	20	0	2.02	0	0
0	1	0.9	0.99	8.82	1.84	0	20	0	2	0	0
0	1	0.9	1	9.18	1.92	0	20	0	2	0	0
0	1	0.5	0	0	0	0	0	0	0	0	0
0	1	0.5	0.01	0	0	0	0	0	0	0	0
0	1	0.5	0.02	0	0	0	0.02	0	0	0	0
0	1	0.5	0.03	0	0	0	0.02	0	0	0	0
0	1	0.5	0.04	0	0	0	0.04	0	0.02	0	0
0	1	0.5	0.05	0	0	0	0.08	0	0.02	0	0
0	1	0.5	0.06	0	0	0	0.12	0	0.04	0	0
0	1	0.5	0.07	0	0	0	0.18	0	0.06	0	0
0	1	0.5	0.08	0	0	0	0.22	0	0.08	0	0
0	1	0.5	0.09	0	0	0	0.28	0	0.1	0	0
0	1	0.5	0.1	0	0	0	0.34	0	0.12	0	0
0	1	0.5	0.11	0.02	0	0	0.4	0	0.14	0	0
0	1	0.5	0.12	0.02	0	0	0.46	0	0.16	0	0
0	1	0.5	0.13	0.02	0	0	0.54	0	0.2	0	0
0	1	0.5	0.14	0.04	0	0	0.64	0	0.22	0	0
0	1	0.5	0.15	0.04	0	0	0.72	0	0.26	0	0
0	1	0.5	0.16	0.06	0	0	0.82	0	0.28	0	0
0	1	0.5	0.17	0.08	0	0	0.92	0	0.32	0	0
0	1	0.5	0.18	0.08	0	0	1.02	0	0.36	0	0
0	1	0.5	0.19	0.1	0	0	1.14	0	0.4	0	0
0	1	0.5	0.2	0.12	0	0	1.26	0	0.42	0	0
0	1	0.5	0.21	0.14	0	0	1.38	0	0.46	0	0
0	1	0.5	0.22	0.16	0	0	1.5	0	0.5	0	0
0	1	0.5	0.23	0.18	0	0	1.66	0	0.54	0	0
0	1	0.5	0.24	0.2	0	0	1.78	0	0.6	0	0
0	1	0.5	0.25	0.22	0.02	0	1.94	0	0.64	0	0
0	1	0.5	0.26	0.24	0.02	0	2.1	0	0.68	0	0
0	1	0.5	0.27	0.28	0.02	0	2.28	0	0.72	0	0
0	1	0.5	0.28	0.3	0.02	0	2.44	0	0.78	0	0
0	1	0.5	0.29	0.32	0.02	0	2.6	0	0.82	0	0
0	1	0.5	0.3	0.36	0.04	0	2.82	0	0.86	0	0
0	1	0.5	0.31	0.4	0.04	0	3	0	0.92	0	0
0	1	0.5	0.32	0.42	0.04	0	3.2	0	0.98	0	0
0	1	0.5	0.33	0.46	0.06	0	3.44	0	1.02	0	0
0	1	0.5	0.34	0.5	0.06	0	3.66	0	1.08	0	0
0	1	0.5	0.35	0.54	0.06	0	3.86	0	1.14	0	0
0	1	0.5	0.36	0.58	0.08	0	4.08	0	1.18	0	0
0	1	0.5	0.37	0.62	0.08	0	4.36	0	1.24	0	0
0	1	0.5	0.38	0.68	0.1	0	4.62	0	1.3	0	0
0	1	0.5	0.39	0.72	0.1	0	4.88	0	1.36	0	0
0	1	0.5	0.4	0.76	0.12	0	5.18	0	1.4	0	0
0	1	0.5	0.41	0.82	0.12	0	5.48	0	1.46	0	0
0	1	0.5	0.42	0.88	0.14	0	5.76	0	1.54	0	0
0	1	0.5	0.43	0.92	0.14	0	6.06	0	1.58	0	0
0	1	0.5	0.44	0.98	0.16	0	6.34	0	1.64	0	0
0	1	0.5	0.45	1.04	0.18	0	6.72	0	1.7	0	0
0	1	0.5	0.46	1.12	0.18	0	7.08	0	1.76	0	0
0	1	0.5	0.47	1.18	0.2	0	7.44	0	1.84	0	0
0	1	0.5	0.48	1.26	0.22	0	7.74	0	1.9	0	0
0	1	0.5	0.49	1.32	0.24	0	8.18	0	1.94	0	0
0	1	0.5	0.5	1.4	0.26	0	8.64	0	2.02	0	0
0	1	0.5	0.51	1.48	0.28	0	8.92	0	2.08	0	0
0	1	0.5	0.52	1.54	0.3	0	9.44	0	2.12	0	0
0	1	0.5	0.53	1.64	0.32	0	9.9	0	2.2	0	0
0	1	0.5	0.54	1.72	0.34	0	10.3	0	2.26	0	0
0	1	0.5	0.55	1.8	0.36	0	10.88	0	2.32	0	0
0	1	0.5	0.56	1.9	0.38	0	11.26	0	2.38	0	0
0	1	0.5	0.57	2	0.4	0	11.88	0	2.44	0	0
0	1	0.5	0.58	2.1	0.44	0	12.28	0	2.5	0	0
0	1	0.5	0.59	2.2	0.46	0	12.98	0	2.56	0	0
0	1	0.5	0.6	2.32	0.48	0	13.4	0	2.6	0	0
0	1	0.5	0.61	2.42	0.52	0	14.18	0	2.68	0	0
0	1	0.5	0.62	2.54	0.54	0	14.64	0	2.72	0	0
0	1	0.5	0.63	2.64	0.58	0	15.48	0	2.78	0	0
0	1	0.5	0.64	2.76	0.62	0	15.98	0	2.84	0	0
0	1	0.5	0.65	2.9	0.66	0	16.68	0	2.9	0	0
0	1	0.5	0.66	3.04	0.68	0	17.46	0	2.94	0	0
0	1	0.5	0.67	3.18	0.72	0	18.04	0	3	0	0
0	1	0.5	0.68	3.3	0.76	0	19.1	0	3.06	0	0
0	1	0.5	0.69	3.46	0.82	0	19.72	0	3.1	0	0
0	1	0.5	0.7	3.62	0.86	0	20	0	3.16	0	0
0	1	0.5	0.71	3.76	0.9	0	20	0	3.22	0	0
0	1	0.5	0.72	3.92	0.96	0	20	0	3.26	0	0
0	1	0.5	0.73	4.1	1	0	20	0	3.32	0	0
0	1	0.5	0.74	4.24	1.06	0	20	0	3.36	0	0
0	1	0.5	0.75	4.44	1.12	0	20	0	3.4	0	0
0	1	0.5	0.76	4.6	1.16	0	20	0	3.44	0	0
0	1	0.5	0.77	4.8	1.22	0	20	0	3.48	0	0
0	1	0.5	0.78	5	1.3	0	20	0	3.54	0	0
0	1	0.5	0.79	5.22	1.36	0	20	0	3.58	0	0
0	1	0.5	0.8	5.4	1.42	0	20	0	3.62	0	0
0	1	0.5	0.81	5.64	1.5	0	20	0	3.66	0	0
0	1	0.5	0.82	5.82	1.56	0	20	0	3.7	0	0
0	1	0.5	0.83	6.1	1.64	0	20	0	3.74	0	0
0	1	0.5	0.84	6.3	1.72	0	20	0	3.78	0	0
0	1	0.5	0.85	6.6	1.8	0	20	0	3.82	0	0
0	1	0.5	0.86	6.84	1.9	0	20	0	3.84	0	0
0	1	0.5	0.87	7.06	1.98	0	20	0	3.88	0	0
0	1	0.5	0.88	7.4	2.08	0	20	0	3.92	0	0
0	1	0.5	0.89	7.64	2.18	0	20	0	3.94	0	0
0	1	0.5	0.9	7.92	2.28	0	20	0	3.98	0	0
0	1	0.5	0.91	8.28	2.4	0	20	0	4	0	0
0	1	0.5	0.92	8.56	2.5	0	20	0	4.02	0	0
0	1	0.5	0.93	8.84	2.62	0	20	0	4.04	0	0
0	1	0.5	0.94	9.26	2.74	0	20	0	4.06	0	0
0	1	0.5	0.95	9.58	2.86	0	20	0	4.08	0	0
0	1	0.5	0.96	9.9	3	0	20	0	4.12	0	0
0	1	0.5	0.97	10.38	3.14	0	20	0	4.14	0	0
0	1	0.5	0.98	10.74	3.28	0	20	0	4.16	0	0
0	1	0.5	0.99	11.1	3.42	0	20	0	4.18	0	0
0	1	0.5	1	11.48	3.58	0	20	0	4.18	0	0
0	1	0	0	0	0	0	0	0	0	0	0
0	1	0	0.01	0	0	0	0	0	0	0	0
0	1	0	0.02	0	0	0	0	0	0	0	0
